"X","Obskey","Poskey","Tripkey","Group","Species","Age","Plumage","Sex","Count","Distance","Transect","Behaviour","Association","Direction","Prey","TurbineHeight","Notes"
333299,1100333299,110068439,110001070,NA,"5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333300,1100333300,110068439,110001070,NA,"6340",NA,"W",NA,1,"B",1,NA,NA,NA,NA,NA,NA
333301,1100333301,110068439,110001070,NA,"6020","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333302,1100333302,110068440,110001070,NA,"5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333303,1100333303,110068440,110001070,NA,"5926","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333304,1100333304,110068440,110001070,NA,"6000","I",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333305,1100333305,110068440,110001070,NA,"5910",NA,NA,NA,20,"A",1,NA,NA,NA,NA,NA,NA
333306,1100333306,110068441,110001070,NA,"710",NA,NA,NA,6,"A",1,NA,NA,NA,NA,NA,NA
333307,1100333307,110068441,110001070,NA,"5910",NA,NA,NA,4,"B",1,NA,NA,NA,NA,NA,NA
333308,1100333308,110068441,110001070,NA,"6020","A",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333309,1100333309,110068441,110001070,NA,"6020","A",NA,NA,4,"B",1,NA,NA,NA,NA,NA,NA
333310,1100333310,110068441,110001070,NA,"5910",NA,NA,NA,10,"C",1,NA,NA,NA,NA,NA,NA
333311,1100333311,110068441,110001070,NA,"5926","A",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333312,1100333312,110068441,110001070,NA,"6000","I",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333313,1100333313,110068441,110001070,NA,"5910","A",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333314,1100333314,110068441,110001070,NA,"6000","A",NA,NA,1,"D",1,NA,NA,NA,NA,NA,NA
333315,1100333315,110068441,110001070,NA,"5910","A",NA,NA,1,"D",1,NA,NA,NA,NA,NA,NA
333316,1100333316,110068441,110001070,NA,"5927","3",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333317,1100333317,110068443,110001070,NA,"6360","A","W",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333318,1100333318,110068444,110001070,NA,"5910","2",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333319,1100333319,110068446,110001070,NA,"6020","A",NA,NA,2,"A",1,"DF",NA,NA,NA,NA,NA
333320,1100333320,110068446,110001070,NA,"5910","I",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
333321,1100333321,110068446,110001070,NA,"63510",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333322,1100333322,110068446,110001070,NA,"6360","A","W",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333323,1100333323,110068447,110001070,NA,"6340",NA,NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333324,1100333324,110068447,110001070,NA,"6000","2",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333325,1100333325,110068447,110001070,NA,"5780","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333326,1100333326,110068447,110001070,NA,"5910","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333327,1100333327,110068447,110001070,NA,"5920","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333328,1100333328,110068448,110001070,NA,"5927","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333329,1100333329,110068449,110001070,NA,"5780","A",NA,NA,2,"2",0,NA,NA,NA,NA,NA,NA
333330,1100333330,110068450,110001070,NA,"5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333331,1100333331,110068450,110001070,NA,"710","1",NA,NA,2,"3",0,NA,NA,NA,NA,NA,NA
333332,1100333332,110068453,110001070,"13","6360","A","W",NA,3,"C",1,NA,NA,NA,NA,NA,NA
333333,1100333333,110068453,110001070,"13","5780","A",NA,NA,1,"2",0,"Z",NA,NA,NA,NA,NA
333334,1100333334,110068455,110001070,NA,"430",NA,NA,NA,1,"2",0,NA,NA,"SW",NA,NA,NA
333335,1100333335,110068457,110001070,NA,"5780","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333336,1100333336,110068459,110001070,NA,"6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333337,1100333337,110068461,110001070,NA,"6340",NA,"W",NA,1,"C",1,NA,NA,NA,NA,NA,NA
333338,1100333338,110068463,110001070,NA,"6020","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333339,1100333339,110068463,110001070,NA,"6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333340,1100333340,110068463,110001070,NA,"710","A",NA,NA,1,"3",0,NA,NA,NA,NA,NA,NA
333341,1100333341,110068464,110001070,NA,"6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333342,1100333342,110068465,110001070,NA,"6360","A",NA,NA,7,"A",1,NA,NA,NA,NA,NA,NA
333343,1100333343,110068466,110001070,NA,"5780","A",NA,NA,1,"B",1,"P",NA,NA,NA,NA,NA
333344,1100333344,110068466,110001070,NA,"5780","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333345,1100333345,110068469,110001070,NA,"710","A",NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333346,1100333346,110068471,110001070,NA,"5910","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333347,1100333347,110068475,110001070,NA,"5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333348,1100333348,110068480,110001070,NA,"5690",NA,NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333349,1100333349,110068481,110001070,NA,"9760",NA,NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333350,1100333350,110068482,110001070,NA,"6000","I",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333351,1100333351,110068485,110001070,NA,"710","4",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333352,1100333352,110068486,110001070,NA,"6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333353,1100333353,110068487,110001070,NA,"6345",NA,NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333354,1100333354,110068487,110001070,NA,"6345",NA,NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333355,1100333355,110068487,110001070,NA,"6345",NA,NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333356,1100333356,110068489,110001070,NA,"6000","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333357,1100333357,110068490,110001070,"14","6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333358,1100333358,110068490,110001070,"14","6020","1",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333359,1100333359,110068492,110001070,NA,"6000","2",NA,NA,1,"B",1,"DF",NA,NA,NA,NA,NA
333360,1100333360,110068492,110001070,NA,"5910","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333361,1100333361,110068493,110001070,NA,"5910","A",NA,NA,1,"1",1,NA,NA,NA,NA,NA,NA
333362,1100333362,110068493,110001070,NA,"63510",NA,NA,NA,2,"U",1,NA,NA,NA,NA,NA,NA
333363,1100333363,110068494,110001070,NA,"5910","3",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333364,1100333364,110068494,110001070,NA,"5910","2",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333365,1100333365,110068494,110001070,NA,"6020","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333366,1100333366,110068495,110001070,NA,"5920","I",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333367,1100333367,110068495,110001070,NA,"5910","2",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333368,1100333368,110068496,110001070,"15","710","A",NA,NA,6,"E",0,NA,NA,NA,NA,NA,NA
333369,1100333369,110068496,110001070,"15","710","1",NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333370,1100333370,110068496,110001070,NA,"6000","I",NA,NA,1,"D",1,NA,NA,NA,NA,NA,NA
333371,1100333371,110068496,110001070,NA,"710","A",NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333372,1100333372,110068496,110001070,NA,"710","A",NA,NA,2,"E",0,NA,NA,NA,NA,NA,NA
333373,1100333373,110068496,110001070,NA,"6360",NA,"W",NA,2,"2",0,NA,NA,NA,NA,NA,NA
333374,1100333374,110068497,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ??? TOWING 315° 3KM"
333375,1100333375,110068497,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ??? TOWING 0° 2KM"
333376,1100333376,110068497,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ??? TOWING 300° 8KM"
333377,1100333377,110068497,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"SEINER ??? TOWING 0° 2KM"
333378,1100333378,110068497,110001070,NA,"6020","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333379,1100333379,110068497,110001070,NA,"710","A",NA,NA,6,"E",0,NA,NA,NA,NA,NA,NA
333380,1100333380,110068498,110001070,NA,"5910","A",NA,NA,1,"A",1,NA,NA,NA,NA,NA,NA
333381,1100333381,110068498,110001070,NA,"710","A",NA,NA,2,"A",1,NA,NA,NA,NA,NA,NA
333382,1100333382,110068498,110001070,NA,"5910","3",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333383,1100333383,110068498,110001070,NA,"710","A",NA,NA,1,"C",1,NA,NA,NA,NA,NA,NA
333384,1100333384,110068498,110001070,NA,"5920","3",NA,NA,3,"B",1,NA,NA,NA,NA,NA,NA
333385,1100333385,110068498,110001070,NA,"5910","A",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333386,1100333386,110068498,110001070,NA,"710","A",NA,NA,1,"A",1,NA,NA,NA,NA,NA,NA
333387,1100333387,110068498,110001070,NA,"710","3",NA,NA,1,"A",1,NA,NA,NA,NA,NA,NA
333388,1100333388,110068498,110001070,NA,"5910","1",NA,NA,1,"A",1,NA,NA,NA,NA,NA,NA
333389,1100333389,110068498,110001070,NA,"6000","1",NA,NA,1,"A",1,NA,NA,NA,NA,NA,NA
